PeakChannel,EnergyLevel,PeakCounts,FWHM,Area
37,23.195797049789242,83899,32.0,2.181843e6
118,73.97578518581435,23264,142.0,4.443355e6
571,357.967570687288,23130,172.0,3.140055e6
