V,d* int,d* int err,d* ext,d* ext err,λ* int,λ* int err,λ* ext,λ* ext err
2000,1.9200701358953666e-10,2.3536273456221816e-11,1.2083117200190375e-10,8.10435191129945e-12,3.042207643058558e-11,3.650766422123071e-12,2.7915953481577498e-11,1.7374429953702629e-12
2200,1.884686079996617e-10,2.509452828483158e-11,1.1161723065306432e-10,6.075328386498996e-12,2.9550891026963485e-11,3.8769484137981625e-12,2.881402099862654e-11,1.4250852109490378e-12
2400,1.8818380332013582e-10,1.8298403018274866e-11,1.097312294469877e-10,1.0161312058850065e-11,2.833564358687554e-11,2.691286562582691e-12,2.8061480851265387e-11,2.5319278967334687e-12
2600,1.891300244680644e-10,1.9316258088228143e-11,1.0981677060446201e-10,7.871138014740293e-12,2.7087803542513247e-11,2.717050611053825e-12,2.693959792334679e-11,1.860102771907736e-12
2800,1.9325152316411862e-10,2.3543535707639684e-11,1.0697955475221193e-10,8.971977499191286e-12,2.5545770278753827e-11,3.0785882200664584e-12,2.664812458085875e-11,2.1836305967714664e-12
3000,1.9310043430784167e-10,1.729602414202024e-11,1.0700465166385888e-10,1.7900786220779061e-12,2.4698868949930136e-11,2.173644171603666e-12,2.5738496059212584e-11,3.712930124414059e-14
