V,aprim,deltaaprim,asec,deltaasec
2000,0.142948328752418,0.0171836215264791,0.227448930246066,0.0142173923347644
2200,0.138848085015208,0.0182455871956725,0.234799322424243,0.0116663632056962
2400,0.133129481891534,0.0126631922699257,0.228639812592799,0.0207200277005942
2600,0.127258641009781,0.0127819725512886,0.219461271590656,0.0152142911053661
2800,0.120005190177999,0.0144795233992578,0.217077387084535,0.0178581815308052
3000,0.11602219494383,0.0102220975392005,0.209639747193146,0.000303530185900773
