Channel,Energy,Counts
0,-0.094457143,0
1,-0.092185714,0
2,-0.089914286,0
3,-0.087642857,0
4,-0.085371429,0
5,-0.0831,0
6,-0.080828571,0
7,-0.078557143,0
8,-0.076285714,0
9,-0.074014286,0
10,-0.071742857,0
11,-0.069471429,0
12,-0.0672,0
13,-0.064928571,0
14,-0.062657143,1
15,-0.060385714,0
16,-0.058114286,5
17,-0.055842857,43
18,-0.053571429,69
19,-0.0513,60
20,-0.049028571,69
21,-0.046757143,55
22,-0.044485714,85
23,-0.042214286,90
24,-0.039942857,98
25,-0.037671429,69
26,-0.0354,98
27,-0.033128571,89
28,-0.030857143,115
29,-0.028585714,127
30,-0.026314286,124
31,-0.024042857,135
32,-0.021771429,125
33,-0.0195,113
34,-0.017228571,112
35,-0.014957143,153
36,-0.012685714,115
37,-0.010414286,121
38,-0.008142857,150
39,-0.005871429,126
40,-0.0036,139
41,-0.001328571,126
42,9.428571428569954E-4,121
43,0.003214286,116
44,0.005485714,124
45,0.007757143,122
46,0.010028571,116
47,0.012299999999999853,125
48,0.014571429,119
49,0.016842857142857007,106
50,0.019114286,130
51,0.021385714285714147,129
52,0.023657143,122
53,0.025928571428571287,151
54,0.028199999999999864,106
55,0.030471428571428427,112
56,0.032742857,126
57,0.035014286,130
58,0.037285714285714144,122
59,0.039557143,110
60,0.041828571,104
61,0.0441,114
62,0.046371428571428425,130
63,0.048642857142857016,111
64,0.050914286,134
65,0.053185714,110
66,0.055457143,128
67,0.057728571428571296,128
68,0.06,113
69,0.062271429,129
70,0.064542857,135
71,0.066814286,100
72,0.069085714,140
73,0.071357143,111
74,0.073628571,119
75,0.0759,112
76,0.078171429,116
77,0.080442857,124
78,0.082714286,147
79,0.084985714,119
80,0.087257143,112
81,0.089528571,116
82,0.0918,98
83,0.094071429,116
84,0.096342857,124
85,0.098614286,108
86,0.10088571428571416,101
87,0.10315714285714273,107
88,0.10542857142857132,113
89,0.10769999999999988,104
90,0.10997142857142844,101
91,0.112242857,108
92,0.1145142857142856,89
93,0.11678571428571416,103
94,0.11905714285714272,108
95,0.12132857142857131,95
96,0.12359999999999988,79
97,0.12587142857142844,85
98,0.12814285714285703,88
99,0.1304142857142856,81
100,0.13268571428571416,87
101,0.13495714285714275,74
102,0.1372285714285713,86
103,0.13949999999999987,92
104,0.14177142857142844,102
105,0.14404285714285703,81
106,0.1463142857142856,82
107,0.14858571428571415,67
108,0.15085714285714275,62
109,0.1531285714285713,69
110,0.15539999999999987,78
111,0.15767142857142846,83
112,0.15994285714285705,87
113,0.1622142857142856,68
114,0.16448571428571418,62
115,0.16675714285714272,61
116,0.1690285714285713,66
117,0.1712999999999999,60
118,0.17357142857142843,60
119,0.17584285714285702,59
120,0.17811428571428561,60
121,0.18038571428571415,72
122,0.18265714285714274,56
123,0.18492857142857133,57
124,0.18719999999999987,63
125,0.18947142857142846,61
126,0.19174285714285705,66
127,0.19401428571428558,46
128,0.19628571428571417,68
129,0.19855714285714277,58
130,0.2008285714285713,56
131,0.2030999999999999,60
132,0.20537142857142848,54
133,0.20764285714285702,58
134,0.2099142857142856,57
135,0.2121857142857142,66
136,0.21445714285714274,43
137,0.21672857142857133,49
138,0.21899999999999992,51
139,0.22127142857142845,56
140,0.22354285714285704,49
141,0.22581428571428563,49
142,0.22808571428571417,53
143,0.23035714285714276,41
144,0.2326285714285713,49
145,0.2348999999999999,47
146,0.23717142857142848,46
147,0.239442857,45
148,0.2417142857142856,54
149,0.2439857142857142,41
150,0.24625714285714273,46
151,0.24852857142857132,42
152,0.2507999999999999,34
153,0.25307142857142845,37
154,0.25534285714285704,44
155,0.25761428571428563,37
156,0.25988571428571416,45
157,0.26215714285714276,43
158,0.26442857142857135,38
159,0.2666999999999999,33
160,0.2689714285714285,37
161,0.27124285714285706,49
162,0.2735142857142856,40
163,0.2757857142857142,34
164,0.2780571428571428,44
165,0.2803285714285713,40
166,0.2825999999999999,39
167,0.2848714285714285,50
168,0.28714285714285703,41
169,0.2894142857142856,43
170,0.2916857142857142,42
171,0.29395714285714275,36
172,0.29622857142857134,37
173,0.29849999999999993,40
174,0.30077142857142847,33
175,0.30304285714285706,30
176,0.30531428571428565,37
177,0.3075857142857142,33
178,0.3098571428571428,36
179,0.3121285714285713,34
180,0.3143999999999999,20
181,0.3166714285714285,36
182,0.31894285714285703,28
183,0.3212142857142856,33
184,0.3234857142857142,25
185,0.32575714285714275,33
186,0.32802857142857134,35
187,0.3302999999999999,34
188,0.33257142857142846,34
189,0.33484285714285705,40
190,0.33711428571428564,42
191,0.3393857142857142,33
192,0.34165714285714277,45
193,0.34392857142857136,30
194,0.3461999999999999,26
195,0.3484714285714285,21
196,0.3507428571428571,38
197,0.3530142857142856,30
198,0.3552857142857142,32
199,0.3575571428571428,23
200,0.35982857142857133,26
201,0.3620999999999999,15
202,0.3643714285714285,30
203,0.36664285714285705,22
204,0.36891428571428564,22
205,0.37118571428571423,42
206,0.37345714285714277,18
207,0.37572857142857136,23
208,0.3779999999999999,30
209,0.3802714285714285,17
210,0.3825428571428571,32
211,0.3848142857142856,24
212,0.3870857142857142,24
213,0.3893571428571428,20
214,0.3916285714285713,29
215,0.3938999999999999,19
216,0.3961714285714285,30
217,0.39844285714285704,24
