Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.45
Upper Discriminator:	0
Lower Discriminator:	0
Calibration Coefficients:	2.7749971289227203E-7	4.1779136000405623E-4	0.11128405989653656
Calibration Channels:	561	115	39
Calibration Energies:	0.433	0.163	0.128
Elapsed Real Time:	310.36
Elapsed Live Time:	300.0
Start Time:	noviembre 14, 2024, 05:35:44
End Time:	noviembre 14, 2024, 05:40:54
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
635	0.48847639523009867	4
636	0.4892468887251888	2
637	0.4900179372197047	2
638	0.49078954071364644	6
639	0.49156169920701387	2
640	0.49233441269980716	2
641	0.4931076811920262	2
642	0.4938815046836711	2
643	0.4946558831747417	3
644	0.49543081666523814	2
645	0.4962063051551603	2
646	0.4969823486445083	2
647	0.497758947133282	2
648	0.49853610062148157	4
649	0.4993138091091069	4
650	0.5000920725961581	0
651	0.5008708910826349	0
652	0.5016502645685377	4
653	0.5024301930538662	3
654	0.5032106765386204	3
655	0.5039917150228004	1
656	0.5047733085064062	2
657	0.5055554569894378	4
658	0.5063381604718953	1
659	0.5071214189537785	6
660	0.5079052324350873	5
661	0.5086896009158222	1
662	0.5094745243959826	3
663	0.5102600028755689	2
664	0.511046036354581	1
665	0.511832624833019	4
666	0.5126197683108826	8
667	0.5134074667881721	2
668	0.5141957202648872	1
669	0.5149845287410284	3
670	0.5157738922165951	6
671	0.5165638106915877	5
672	0.5173542841660062	1
673	0.5181453126398503	3
674	0.5189368961131202	4
675	0.519729034585816	3
676	0.5205217280579375	4
677	0.5213149765294848	4
678	0.5221087800004579	2
679	0.5229031384708567	5
680	0.5236980519406814	3
681	0.5244935204099318	3
682	0.525289543878608	2
683	0.52608612234671	2
684	0.5268832558142379	2
685	0.5276809442811914	1
686	0.5284791877475707	2
687	0.5292779862133759	5
688	0.5300773396786069	2
689	0.5308772481432635	2
690	0.5316777116073461	3
691	0.5324787300708543	3
692	0.5332803035337884	2
693	0.5340824319961482	6
694	0.5348851154579339	0
695	0.5356883539191453	3
696	0.5364921473797826	5
697	0.5372964958398455	3
698	0.5381013992993343	3
699	0.5389068577582489	1
700	0.5397128712165892	2
701	0.5405194396743553	4
702	0.5413265631315473	1
703	0.5421342415881649	1
704	0.5429424750442085	6
705	0.5437512634996777	2
706	0.5445606069545728	4
707	0.5453705054088936	4
708	0.5461809588626402	3
709	0.5469919673158126	1
710	0.5478035307684108	2
711	0.5486156492204348	5
712	0.5494283226718846	3
713	0.5502415511227601	7
714	0.5510553345730613	5
715	0.5518696730227886	5
716	0.5526845664719414	9
717	0.5535000149205201	9
718	0.5543160183685245	4
719	0.5551325768159548	3
720	0.5559496902628108	2
721	0.5567673587090927	7
722	0.5575855821548004	5
723	0.5584043605999337	0
724	0.5592236940444929	5
725	0.5600435824884777	3
726	0.5608640259318886	2
727	0.5616850243747251	7
728	0.5625065778169874	5
729	0.5633286862586755	3
730	0.5641513496997894	2
731	0.564974568140329	5
732	0.5657983415802945	4
733	0.5666226700196857	0
734	0.5674475534585027	3
735	0.5682729918967455	1
736	0.5690989853344142	5
737	0.5699255337715085	2
738	0.5707526372080287	3
739	0.5715802956439746	1
740	0.5724085090793464	0
741	0.5732372775141439	3
742	0.5740666009483671	2
743	0.5748964793820162	2
744	0.575726912815091	2
745	0.5765579012475918	2
746	0.5773894446795181	3
747	0.5782215431108704	7
748	0.5790541965416484	3
749	0.5798874049718522	1
750	0.5807211684014817	1
751	0.5815554868305371	3
752	0.5823903602590182	2
753	0.5832257886869252	1
754	0.5840617721142578	1
755	0.5848983105410164	3
756	0.5857354039672007	2
757	0.5865730523928108	1
758	0.5874112558178466	1
759	0.5882500142423082	2
760	0.5890893276661956	1
761	0.5899291960895088	1
762	0.5907696195122478	5
763	0.5916105979344126	2
764	0.5924521313560032	1
765	0.5932942197770195	2
766	0.5941368631974615	4
767	0.5949800616173295	2
768	0.5958238150366232	2
769	0.5966681234553427	5
770	0.597512986873488	4
771	0.598358405291059	1
772	0.5992043787080559	3
773	0.6000509071244784	2
774	0.6008979905403269	1
775	0.601745628955601	2
776	0.602593822370301	2
777	0.6034425707844268	4
778	0.6042918741979784	1
779	0.6051417326109556	2
780	0.6059921460233587	3
781	0.6068431144351876	4
782	0.6076946378464423	4
783	0.6085467162571228	3
784	0.609399349667229	2
785	0.6102525380767609	5
786	0.6111062814857189	2
787	0.6119605798941024	2
788	0.6128154333019118	4
789	0.613670841709147	3
790	0.6145268051158079	5
791	0.6153833235218946	2
792	0.6162403969274072	4
793	0.6170980253323455	3
794	0.6179562087367096	2
795	0.6188149471404996	1
796	0.6196742405437151	2
797	0.6205340889463566	3
798	0.6213944923484238	6
799	0.6222554507499168	5
800	0.6231169641508356	2
801	0.6239790325511803	3
802	0.6248416559509505	3
803	0.6257048343501468	1
804	0.6265685677487687	4
805	0.6274328561468164	1
806	0.6282976995442899	0
807	0.6291630979411892	3
808	0.6300290513375142	3
809	0.6308955597332652	1
810	0.6317626231284418	5
811	0.6326302415230443	2
812	0.6334984149170724	2
813	0.6343671433105265	4
814	0.6352364267034062	4
815	0.6361062650957118	1
816	0.6369766584874431	1
817	0.6378476068786003	2
818	0.6387191102691832	2
