Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.45
Upper Discriminator:	2
Lower Discriminator:	0
Calibration Coefficients:	-0.09445714285714302	0.002271428571428572
Calibration Channels:	558	628
Calibration Energies:	1.173	1.332
Elapsed Real Time:	300.52
Elapsed Live Time:	300.0
Start Time:	noviembre 07, 2024, 04:07:32
End Time:	noviembre 07, 2024, 04:12:32
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-0.09445714285714302	0
1	-0.09218571428571444	0
2	-0.08991428571428588	0
3	-0.0876428571428573	0
4	-0.08537142857142874	0
5	-0.08310000000000016	0
6	-0.08082857142857158	0
7	-0.07855714285714302	0
8	-0.07628571428571444	0
9	-0.07401428571428587	0
10	-0.0717428571428573	0
11	-0.06947142857142873	0
12	-0.06720000000000015	0
13	-0.06492857142857159	0
14	-0.06265714285714301	0
15	-0.06038571428571444	0
16	-0.05811428571428587	2
17	-0.0558428571428573	51
18	-0.05357142857142873	68
19	-0.05130000000000015	48
20	-0.04902857142857158	61
21	-0.04675714285714301	67
22	-0.044485714285714434	52
23	-0.042214285714285864	57
24	-0.039942857142857294	72
25	-0.037671428571428724	75
26	-0.035400000000000154	85
27	-0.03312857142857158	99
28	-0.030857142857143	102
29	-0.028585714285714436	97
30	-0.02631428571428586	119
31	-0.024042857142857296	99
32	-0.02177142857142872	98
33	-0.019500000000000142	116
34	-0.01722857142857158	112
35	-0.014957142857143002	95
36	-0.012685714285714439	127
37	-0.010414285714285862	126
38	-0.008142857142857285	125
39	-0.005871428571428722	134
40	-0.0036000000000001448	127
41	-0.0013285714285715677	127
42	9.428571428569954E-4	128
43	0.0032142857142855724	113
44	0.005485714285714149	103
45	0.007757142857142713	109
46	0.01002857142857129	106
47	0.012299999999999853	108
48	0.01457142857142843	110
49	0.016842857142857007	123
50	0.01911428571428557	112
51	0.021385714285714147	97
52	0.02365714285714271	108
53	0.025928571428571287	104
54	0.028199999999999864	96
55	0.030471428571428427	79
56	0.03274285714285702	110
57	0.03501428571428558	97
58	0.037285714285714144	103
59	0.03955714285714271	107
60	0.0418285714285713	107
61	0.04409999999999986	101
62	0.046371428571428425	98
63	0.048642857142857016	97
64	0.05091428571428558	105
65	0.05318571428571414	101
66	0.05545714285714273	91
67	0.057728571428571296	108
68	0.05999999999999986	97
69	0.06227142857142845	111
70	0.06454285714285701	109
71	0.06681428571428558	82
72	0.06908571428571414	99
73	0.07135714285714273	101
74	0.0736285714285713	83
75	0.07589999999999986	105
76	0.07817142857142845	95
77	0.08044285714285701	110
78	0.08271428571428557	92
79	0.08498571428571416	99
80	0.08725714285714273	113
81	0.08952857142857129	107
82	0.09179999999999988	99
83	0.09407142857142844	93
84	0.09634285714285701	102
85	0.0986142857142856	95
86	0.10088571428571416	81
87	0.10315714285714273	106
88	0.10542857142857132	76
89	0.10769999999999988	73
90	0.10997142857142844	81
91	0.112242857142857	82
92	0.1145142857142856	98
93	0.11678571428571416	61
94	0.11905714285714272	89
95	0.12132857142857131	73
96	0.12359999999999988	79
97	0.12587142857142844	78
98	0.12814285714285703	75
99	0.1304142857142856	79
100	0.13268571428571416	73
101	0.13495714285714275	74
102	0.1372285714285713	83
103	0.13949999999999987	53
104	0.14177142857142844	64
105	0.14404285714285703	79
106	0.1463142857142856	67
107	0.14858571428571415	63
108	0.15085714285714275	67
109	0.1531285714285713	70
110	0.15539999999999987	67
111	0.15767142857142846	62
112	0.15994285714285705	55
113	0.1622142857142856	69
114	0.16448571428571418	55
115	0.16675714285714272	60
116	0.1690285714285713	61
117	0.1712999999999999	56
118	0.17357142857142843	57
119	0.17584285714285702	48
120	0.17811428571428561	55
121	0.18038571428571415	49
122	0.18265714285714274	51
123	0.18492857142857133	58
124	0.18719999999999987	46
125	0.18947142857142846	45
126	0.19174285714285705	42
127	0.19401428571428558	40
128	0.19628571428571417	45
129	0.19855714285714277	51
130	0.2008285714285713	55
131	0.2030999999999999	46
132	0.20537142857142848	47
133	0.20764285714285702	48
134	0.2099142857142856	35
135	0.2121857142857142	43
136	0.21445714285714274	53
137	0.21672857142857133	53
138	0.21899999999999992	44
139	0.22127142857142845	36
140	0.22354285714285704	38
141	0.22581428571428563	37
142	0.22808571428571417	34
143	0.23035714285714276	47
144	0.2326285714285713	40
145	0.2348999999999999	41
146	0.23717142857142848	25
147	0.239442857142857	39
148	0.2417142857142856	35
149	0.2439857142857142	38
150	0.24625714285714273	38
151	0.24852857142857132	36
152	0.2507999999999999	43
153	0.25307142857142845	36
154	0.25534285714285704	38
155	0.25761428571428563	25
156	0.25988571428571416	35
157	0.26215714285714276	30
158	0.26442857142857135	41
159	0.2666999999999999	36
160	0.2689714285714285	25
161	0.27124285714285706	42
162	0.2735142857142856	32
163	0.2757857142857142	34
164	0.2780571428571428	26
165	0.2803285714285713	28
166	0.2825999999999999	30
167	0.2848714285714285	23
168	0.28714285714285703	27
169	0.2894142857142856	28
170	0.2916857142857142	34
171	0.29395714285714275	25
172	0.29622857142857134	29
173	0.29849999999999993	30
174	0.30077142857142847	28
175	0.30304285714285706	26
176	0.30531428571428565	22
177	0.3075857142857142	29
178	0.3098571428571428	22
179	0.3121285714285713	29
180	0.3143999999999999	33
181	0.3166714285714285	21
182	0.31894285714285703	25
183	0.3212142857142856	27
184	0.3234857142857142	26
185	0.32575714285714275	28
186	0.32802857142857134	23
187	0.3302999999999999	21
188	0.33257142857142846	24
189	0.33484285714285705	27
190	0.33711428571428564	17
191	0.3393857142857142	28
192	0.34165714285714277	34
193	0.34392857142857136	22
194	0.3461999999999999	21
195	0.3484714285714285	22
196	0.3507428571428571	15
197	0.3530142857142856	11
198	0.3552857142857142	20
199	0.3575571428571428	28
200	0.35982857142857133	23
201	0.3620999999999999	19
202	0.3643714285714285	25
203	0.36664285714285705	30
204	0.36891428571428564	27
205	0.37118571428571423	20
206	0.37345714285714277	27
207	0.37572857142857136	13
208	0.3779999999999999	27
209	0.3802714285714285	29
210	0.3825428571428571	24
211	0.3848142857142856	18
212	0.3870857142857142	17
213	0.3893571428571428	20
214	0.3916285714285713	28
215	0.3938999999999999	21
216	0.3961714285714285	24
217	0.39844285714285704	23
218	0.40071428571428563	19
219	0.4029857142857142	24
220	0.40525714285714276	11
221	0.40752857142857135	24
222	0.40979999999999994	18
223	0.41207142857142853	23
224	0.4143428571428571	15
225	0.4166142857142856	23
226	0.4188857142857142	21
227	0.4211571428571428	10
228	0.4234285714285714	17
229	0.42569999999999997	20
230	0.42797142857142845	16
231	0.43024285714285704	18
232	0.43251428571428563	22
233	0.4347857142857142	16
234	0.4370571428571428	18
235	0.4393285714285714	25
236	0.4415999999999999	9
237	0.4438714285714285	14
238	0.44614285714285706	14
239	0.44841428571428565	14
240	0.45068571428571425	19
241	0.45295714285714284	17
242	0.4552285714285713	13
243	0.4574999999999999	11
244	0.4597714285714285	15
245	0.4620428571428571	20
246	0.4643142857142857	19
247	0.46658571428571427	13
248	0.46885714285714275	14
249	0.47112857142857134	19
250	0.47339999999999993	16
251	0.4756714285714285	14
252	0.4779428571428571	17
253	0.4802142857142857	22
254	0.4824857142857142	14
255	0.4847571428571428	17
256	0.48702857142857137	22
257	0.48929999999999996	18
258	0.49157142857142855	19
259	0.49384285714285703	18
260	0.4961142857142856	24
261	0.4983857142857142	25
262	0.5006571428571428	26
263	0.5029285714285714	23
264	0.5052	26
265	0.5074714285714285	20
266	0.509742857142857	23
267	0.5120142857142856	29
268	0.5142857142857142	29
269	0.5165571428571428	30
270	0.5188285714285714	21
271	0.5210999999999999	32
272	0.5233714285714285	35
273	0.5256428571428571	34
274	0.5279142857142857	37
275	0.5301857142857143	34
276	0.5324571428571429	36
277	0.5347285714285713	51
278	0.5369999999999999	54
279	0.5392714285714285	49
280	0.5415428571428571	62
281	0.5438142857142857	60
282	0.5460857142857143	58
283	0.5483571428571428	69
284	0.5506285714285714	53
285	0.5529	78
286	0.5551714285714285	72
287	0.5574428571428571	76
288	0.5597142857142856	71
289	0.5619857142857142	58
290	0.5642571428571428	77
291	0.5665285714285714	85
292	0.5688	77
293	0.5710714285714286	92
294	0.573342857142857	104
295	0.5756142857142856	101
296	0.5778857142857142	114
297	0.5801571428571428	88
298	0.5824285714285714	93
299	0.5847	97
300	0.5869714285714285	93
301	0.5892428571428571	110
302	0.5915142857142857	87
303	0.5937857142857143	107
304	0.5960571428571428	85
305	0.5983285714285714	85
306	0.6005999999999999	105
307	0.6028714285714285	87
308	0.6051428571428571	86
309	0.6074142857142857	101
310	0.6096857142857143	101
311	0.6119571428571429	83
312	0.6142285714285713	82
313	0.6164999999999999	78
314	0.6187714285714285	73
315	0.6210428571428571	92
316	0.6233142857142857	75
317	0.6255857142857143	91
318	0.6278571428571428	79
319	0.6301285714285714	72
320	0.6324	51
321	0.6346714285714286	78
322	0.6369428571428571	67
323	0.6392142857142856	56
324	0.6414857142857142	52
325	0.6437571428571428	68
326	0.6460285714285714	66
327	0.6483	40
328	0.6505714285714286	49
329	0.6528428571428571	46
330	0.6551142857142856	48
331	0.6573857142857142	53
332	0.6596571428571428	31
333	0.6619285714285714	35
334	0.6642	40
335	0.6664714285714285	28
336	0.6687428571428571	29
337	0.6710142857142857	29
338	0.6732857142857143	22
339	0.6755571428571429	21
340	0.6778285714285714	16
341	0.6800999999999999	15
342	0.6823714285714285	23
343	0.6846428571428571	12
344	0.6869142857142857	15
345	0.6891857142857143	14
346	0.6914571428571429	15
347	0.6937285714285714	15
348	0.696	16
349	0.6982714285714285	7
350	0.7005428571428571	11
351	0.7028142857142857	6
352	0.7050857142857143	7
353	0.7073571428571428	2
354	0.7096285714285714	2
355	0.7119	9
356	0.7141714285714286	4
357	0.7164428571428572	7
358	0.7187142857142856	6
359	0.7209857142857142	6
360	0.7232571428571428	7
361	0.7255285714285714	9
362	0.7278	8
